iter	Passed	Remaining
0	147	147405
1	148	74253
2	149	49711
3	150	37437
4	151	30076
5	151	25168
6	152	21664
7	153	19056
8	154	17020
9	155	15390
10	156	14062
11	157	12963
12	158	12034
13	159	11233
14	160	10528
15	161	9912
16	162	9375
17	163	8918
18	164	8490
19	165	8099
20	166	7745
21	167	7425
22	167	7133
23	168	6868
24	169	6618
25	171	6406
26	171	6196
27	172	6001
28	173	5822
29	174	5652
30	175	5493
31	176	5343
32	177	5207
33	179	5098
34	180	4977
35	181	4859
36	182	4746
37	183	4641
38	184	4540
39	185	4446
40	186	4359
41	187	4272
42	188	4190
43	189	4111
44	190	4037
45	191	3965
46	192	3895
47	193	3830
48	194	3769
49	195	3706
50	195	3645
51	196	3587
52	197	3530
53	198	3476
54	199	3425
55	200	3375
56	201	3327
57	202	3282
58	203	3240
59	204	3199
60	205	3159
61	206	3122
62	207	3090
63	209	3062
64	210	3030
65	211	2998
66	212	2963
67	213	2930
68	214	2898
69	215	2867
70	216	2835
71	217	2805
72	218	2775
73	219	2745
74	220	2716
75	221	2688
76	222	2661
77	223	2637
78	224	2617
79	225	2591
80	226	2567
81	227	2543
82	227	2514
83	228	2488
84	228	2464
85	229	2441
86	230	2417
87	231	2395
88	231	2372
89	232	2351
90	233	2330
91	234	2309
92	234	2290
93	235	2271
94	236	2252
95	237	2234
96	238	2218
97	239	2200
98	239	2181
99	240	2164
100	241	2147
101	241	2130
102	242	2113
103	243	2098
104	244	2083
105	245	2069
106	246	2053
107	246	2038
108	247	2023
109	248	2008
110	248	1993
111	249	1979
112	250	1965
113	251	1951
114	252	1939
115	252	1927
116	253	1913
117	254	1900
118	255	1889
119	255	1876
120	256	1864
121	257	1851
122	257	1839
123	258	1827
124	260	1820
125	260	1808
126	261	1796
127	262	1785
128	262	1774
129	263	1763
130	264	1752
131	264	1742
132	265	1731
133	266	1721
134	267	1713
135	269	1709
136	270	1704
137	271	1696
138	272	1687
139	273	1677
140	273	1668
141	274	1657
142	275	1648
143	275	1640
144	276	1631
145	277	1622
146	278	1614
147	278	1606
148	279	1597
149	280	1590
150	281	1584
151	282	1578
152	283	1570
153	284	1562
154	285	1554
155	286	1547
156	286	1540
157	287	1533
158	288	1525
159	289	1519
160	289	1510
161	290	1503
162	291	1496
163	292	1489
164	292	1482
165	293	1475
166	294	1468
167	295	1461
168	295	1454
169	296	1449
170	297	1443
171	298	1436
172	299	1430
173	299	1423
174	300	1416
175	301	1410
176	301	1404
177	302	1397
178	303	1391
179	304	1385
180	304	1379
181	305	1373
182	306	1367
183	306	1361
184	307	1355
185	308	1349
186	308	1343
187	309	1337
188	310	1332
189	311	1327
190	312	1325
191	313	1321
192	314	1316
193	315	1311
194	316	1306
195	317	1301
196	317	1295
197	318	1290
198	319	1285
199	320	1280
200	320	1275
201	321	1270
202	322	1266
203	323	1261
204	324	1257
205	325	1253
206	326	1249
207	327	1246
208	328	1243
209	329	1239
210	330	1234
211	331	1230
212	332	1226
213	333	1223
214	333	1219
215	334	1214
216	335	1210
217	336	1206
218	337	1203
219	338	1198
220	338	1194
221	339	1190
222	340	1187
223	341	1184
224	342	1180
225	343	1177
226	344	1173
227	345	1169
228	346	1165
229	346	1161
230	347	1157
231	348	1154
232	349	1150
233	350	1146
234	350	1142
235	351	1139
236	352	1135
237	353	1131
238	354	1128
239	355	1125
240	356	1122
241	357	1120
242	358	1116
243	359	1112
244	359	1109
245	360	1105
246	361	1102
247	362	1098
248	362	1094
249	363	1091
250	364	1087
251	365	1084
252	365	1080
253	366	1076
254	367	1072
255	367	1069
256	368	1065
257	369	1062
258	370	1059
259	371	1056
260	372	1053
261	372	1049
262	373	1046
263	374	1043
264	374	1040
265	375	1037
266	376	1033
267	377	1030
268	377	1027
269	378	1023
270	379	1020
271	380	1017
272	380	1014
273	381	1011
274	382	1007
275	383	1004
276	383	1001
277	384	999
278	385	996
279	386	994
280	387	991
281	388	989
282	389	986
283	390	983
284	390	980
285	391	977
286	392	974
287	393	971
288	393	969
289	394	966
290	395	963
291	396	960
292	396	957
293	397	955
294	398	952
295	399	949
296	400	947
297	401	946
298	402	943
299	403	941
300	403	938
301	404	935
302	405	932
303	406	929
304	406	926
305	407	924
306	408	921
307	408	918
308	409	916
309	410	913
310	411	910
311	411	908
312	412	905
313	413	902
314	413	899
315	414	897
316	415	895
317	416	893
318	417	890
319	418	888
320	418	885
321	419	883
322	420	880
323	420	878
324	421	875
325	422	873
326	423	870
327	423	868
328	424	865
329	425	863
330	426	861
331	426	858
332	427	856
333	428	854
334	429	851
335	429	849
336	430	847
337	431	845
338	432	843
339	433	840
340	433	838
341	434	836
342	435	833
343	436	832
344	437	830
345	438	828
346	439	826
347	440	824
348	440	822
349	441	820
350	442	817
351	443	815
352	443	813
353	444	811
354	445	809
355	447	808
356	448	806
357	448	804
358	449	802
359	450	800
360	450	798
361	451	796
362	452	794
363	453	791
364	453	789
365	454	787
366	455	785
367	456	783
368	456	781
369	457	778
370	458	776
371	458	774
372	459	772
373	460	770
374	461	768
375	462	767
376	463	765
377	463	763
378	464	761
379	465	758
380	465	756
381	466	755
382	467	753
383	468	751
384	468	749
385	469	747
386	470	744
387	471	742
388	471	740
389	472	738
390	473	736
391	473	734
392	474	733
393	475	731
394	476	729
395	477	728
396	478	726
397	478	724
398	479	722
399	480	720
400	480	718
401	481	716
402	482	714
403	483	712
404	483	710
405	484	708
406	485	707
407	485	705
408	486	703
409	487	701
410	488	699
411	488	697
412	489	695
413	490	694
414	491	693
415	493	692
416	494	690
417	495	689
418	495	687
419	496	685
420	497	684
421	498	682
422	499	681
423	501	681
424	502	679
425	503	678
426	504	677
427	506	676
428	507	675
429	508	674
430	509	672
431	510	671
432	511	670
433	512	668
434	513	667
435	514	665
436	515	664
437	516	662
438	517	660
439	518	659
440	519	658
441	520	656
442	522	656
